Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
253,19.661534s,19.661554s,5,00 FC 00 18 40,00 00 00 01 00,1.6017 MHz,-
254,19.661559s,19.661579s,5,00 FC 00 00 30,00 00 00 01 00,1.6261 MHz,-
255,19.661586s,19.661606s,5,C0 FC 00 00 00,00 00 00 01 81,1.6065 MHz,-
256,19.661612s,19.661632s,5,00 F6 00 00 02,00 00 00 01 00,1.5430 MHz,-
257,19.661638s,19.661658s,5,C0 D6 00 00 00,00 00 00 01 A1,1.5842 MHz,-
258,19.661664s,19.661684s,5,C0 DC 00 1C 00,00 00 00 01 44,1.5921 MHz,-
259,19.661690s,19.661726s,8,83 DE 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04,1.5842 MHz,-
260,19.661731s,19.661859s,26,1F D4 00 24 C0 01 00 00 00 17 00 00 01 7F 00 00 00 06 00 00 01 1B 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6113 MHz,-
261,19.666864s,19.666885s,5,80 DC 00 18 00,00 00 00 01 84,1.6033 MHz,-
262,19.671891s,19.671911s,5,80 D4 00 1C 00,00 00 00 01 84,1.5858 MHz,-
263,19.671917s,19.671937s,5,00 D6 00 1C 20,00 00 00 01 00,1.5430 MHz,-
264,19.676943s,19.676963s,5,80 FC 00 18 00,00 00 00 01 94,1.5780 MHz,-
265,19.676969s,19.677005s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.6033 MHz,-
266,19.677010s,19.677076s,14,C9 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5937 MHz,-
267,19.682082s,19.682103s,5,C0 F4 00 1C 00,00 00 00 01 94,1.5702 MHz,-
268,19.682108s,19.682144s,8,83 F4 00 1C 00 00 00 00,00 00 00 01 94 11 00 04,1.5474 MHz,-
269,19.682150s,19.682251s,21,D8 DE 00 36 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.6065 MHz,-
270,19.682256s,19.682277s,5,00 FC 00 1C 40,00 00 00 01 00,1.6097 MHz,-
271,19.682282s,19.682302s,5,00 D4 00 00 20,00 00 00 01 00,1.5826 MHz,-
272,19.682332s,19.682352s,5,80 DC 00 00 00,00 00 00 01 81,1.5842 MHz,-
273,19.682358s,19.682378s,5,00 DE 00 00 03,00 00 00 01 00,1.6000 MHz,-
274,19.682384s,19.682404s,5,C0 DE 00 00 00,00 00 00 01 A1,1.6000 MHz,-
275,19.682409s,19.682430s,5,C0 D6 00 18 00,00 00 00 01 44,1.5937 MHz,-
276,19.682435s,19.682471s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5795 MHz,-
277,19.682476s,19.682603s,26,1D DE 00 24 C0 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6065 MHz,-
278,19.687609s,19.687629s,5,80 DC 00 18 00,00 00 00 01 84,1.5504 MHz,-
279,19.692635s,19.692655s,5,C0 F4 00 1C 00,00 00 00 01 84,1.5874 MHz,-
280,19.692661s,19.692681s,5,00 FE 00 18 30,00 00 00 01 00,1.6195 MHz,-
281,19.697687s,19.697708s,5,80 D4 00 1C 00,00 00 00 01 94,1.5534 MHz,-
282,19.697713s,19.697749s,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5826 MHz,-
283,19.697754s,19.697820s,14,CD D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5858 MHz,-
284,19.702826s,19.702846s,5,C0 D4 00 18 00,00 00 00 01 94,1.6081 MHz,-
285,19.702852s,19.702888s,8,C3 FC 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5733 MHz,-
286,19.702893s,19.703014s,25,D6 D6 00 36 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5858 MHz,-
287,19.703020s,19.703040s,5,00 F4 00 1C 40,00 00 00 01 00,1.5534 MHz,-
288,19.703046s,19.703066s,5,00 F6 00 00 20,00 00 00 01 00,1.5641 MHz,-
289,19.703073s,19.703093s,5,C0 F6 00 00 00,00 00 00 01 81,1.5764 MHz,-
290,19.703099s,19.703119s,5,00 DE 00 00 02,00 00 00 01 00,1.6017 MHz,-
291,19.703124s,19.703145s,5,C0 FE 00 00 00,00 00 00 01 A1,1.5718 MHz,-
292,19.703150s,19.703171s,5,C0 DC 00 1C 00,00 00 00 01 04,1.5985 MHz,-
293,19.703176s,19.703197s,5,00 DC 00 1C 40,00 00 00 01 00,1.6277 MHz,-
294,19.708202s,19.708223s,5,80 DC 00 18 00,00 00 00 01 44,1.5985 MHz,-
295,19.708228s,19.708264s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5969 MHz,-
296,19.708269s,19.708396s,26,1D F6 00 24 C0 01 00 00 00 16 00 00 01 FA 00 00 00 06 00 00 01 1A 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5858 MHz,-
297,19.713401s,19.713422s,5,C0 DC 00 1C 00,00 00 00 01 84,1.6097 MHz,-
298,19.718427s,19.718448s,5,C0 D4 00 1C 00,00 00 00 01 84,1.6130 MHz,-
299,19.718453s,19.718473s,5,00 DC 00 18 20,00 00 00 01 00,1.6146 MHz,-
300,19.723479s,19.723500s,5,80 D4 00 18 00,00 00 00 01 94,1.5459 MHz,-
301,19.723505s,19.723541s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5826 MHz,-
302,19.723547s,19.723612s,14,C9 D4 00 36 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5921 MHz,-
303,19.728618s,19.728639s,5,80 D4 00 18 00,00 00 00 01 94,1.6113 MHz,-
304,19.728644s,19.728680s,8,83 FE 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5969 MHz,-
305,19.728685s,19.728786s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5905 MHz,-
306,19.728792s,19.728812s,5,00 D4 00 18 60,00 00 00 01 00,1.5874 MHz,-
307,19.728817s,19.728838s,5,00 D4 00 00 20,00 00 00 01 00,1.6097 MHz,-
308,19.728844s,19.728865s,5,80 D4 00 00 00,00 00 00 01 81,1.5969 MHz,-
309,19.728870s,19.728891s,5,00 D4 00 00 02,00 00 00 01 00,1.5656 MHz,-
310,19.728896s,19.728916s,5,C0 D4 00 00 00,00 00 00 01 A1,1.5953 MHz,-
311,19.728922s,19.728942s,5,80 D4 00 18 00,00 00 00 01 04,1.5733 MHz,-
312,19.728948s,19.728968s,5,00 D4 00 18 40,00 00 00 01 00,1.5889 MHz,-
313,19.733974s,19.733994s,5,C0 F4 00 1C 00,00 00 00 01 44,1.5718 MHz,-
314,19.733999s,19.734035s,8,C3 DC 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6049 MHz,-
315,19.734040s,19.734323s,57,36 FC 00 24 C0 02 00 00 00 3F 80 00 01 C3 00 00 00 00 00 00 00 0D 60 00 00 0D 80 00 00 00 00 00 00 00 01 00 04 C2 90 CA F1 93 3B 7F 9D BF E7 FD 4D B4 EC 17 0F 77 7E ED 14,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6001 MHz,-
316,19.739328s,19.739349s,5,C0 D6 00 18 00,00 00 00 01 84,1.5905 MHz,-
317,19.744354s,19.744374s,5,80 F6 00 1C 00,00 00 00 01 84,1.5780 MHz,-
318,19.744380s,19.744400s,5,00 FE 00 18 30,00 00 00 01 00,1.5921 MHz,-
319,19.749406s,19.749426s,5,C0 D4 00 18 00,00 00 00 01 94,1.5874 MHz,-
320,19.749431s,19.749467s,8,83 FC 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5858 MHz,-
321,19.749472s,19.749538s,14,89 D6 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.6081 MHz,-
322,19.754543s,19.754564s,5,C0 D6 00 18 00,00 00 00 01 94,1.6277 MHz,-
323,19.754569s,19.754605s,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5671 MHz,-
324,19.754610s,19.754671s,13,88 DC 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5874 MHz,-
325,19.754676s,19.754697s,5,00 DC 00 1C 60,00 00 00 01 00,1.5985 MHz,-
326,19.754702s,19.754723s,5,00 F6 00 00 20,00 00 00 01 00,1.5580 MHz,-
327,19.754729s,19.754749s,5,80 DC 00 00 00,00 00 00 01 81,1.5415 MHz,-
328,19.754755s,19.754775s,5,00 DC 00 00 03,00 00 00 01 00,1.5733 MHz,-
329,19.754781s,19.754801s,5,C0 F6 00 00 00,00 00 00 01 A1,1.6017 MHz,-
330,19.754807s,19.754827s,5,80 D6 00 1C 00,00 00 00 01 04,1.5534 MHz,-
331,19.754833s,19.754853s,5,00 D4 00 18 40,00 00 00 01 00,1.5795 MHz,-
332,19.759859s,19.759879s,5,C0 D4 00 18 00,00 00 00 01 44,1.5504 MHz,-
333,19.759885s,19.759920s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5889 MHz,-
334,19.759926s,19.760052s,26,15 F4 00 26 80 01 00 00 00 1E 00 00 01 7A 00 00 00 07 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5641 MHz,-
335,19.765058s,19.765078s,5,C0 D4 00 1C 00,00 00 00 01 84,1.5826 MHz,-
336,19.770084s,19.770105s,5,80 D4 00 18 00,00 00 00 01 84,1.5504 MHz,-
337,19.770110s,19.770131s,5,00 D4 00 18 20,00 00 00 01 00,1.5811 MHz,-
338,19.775137s,19.775157s,5,80 F6 00 1C 00,00 00 00 01 94,1.5430 MHz,-
339,19.775163s,19.775199s,8,C3 F4 00 1C 00 00 00 00,00 00 00 01 94 1F 00 04,1.6130 MHz,-
340,19.775204s,19.775270s,14,CD F6 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5937 MHz,-
341,19.780275s,19.780296s,5,80 D4 00 18 00,00 00 00 01 94,1.5969 MHz,-
342,19.780301s,19.780337s,8,83 F4 00 1C 00 00 00 00,00 00 00 01 94 15 00 04,1.5687 MHz,-
343,19.780342s,19.780463s,25,9C D4 00 26 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5858 MHz,-
344,19.780469s,19.780489s,5,00 D4 00 18 40,00 00 00 01 00,1.6049 MHz,-
345,19.780495s,19.780515s,5,00 D4 00 00 20,00 00 00 01 00,1.5687 MHz,-
346,19.780521s,19.780542s,5,80 F4 00 00 00,00 00 00 01 81,1.5595 MHz,-
347,19.780547s,19.780568s,5,00 DC 00 00 03,00 00 00 01 00,1.5985 MHz,-
348,19.780573s,19.780593s,5,80 DE 00 00 00,00 00 00 01 A1,1.5842 MHz,-
349,19.780599s,19.780619s,5,80 F4 00 18 00,00 00 00 01 04,1.6017 MHz,-
350,19.780625s,19.780645s,5,00 D4 00 18 40,00 00 00 01 00,1.6360 MHz,-
351,19.785651s,19.785671s,5,C0 D4 00 18 00,00 00 00 01 44,1.6178 MHz,-
352,19.785677s,19.785713s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5937 MHz,-
353,19.785718s,19.785845s,26,17 D4 00 26 80 01 00 00 00 16 00 00 01 7A 00 00 00 07 00 00 01 92 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5534 MHz,-
354,19.790851s,19.790871s,5,80 D6 00 18 00,00 00 00 01 84,1.5921 MHz,-
355,19.795877s,19.795897s,5,80 DC 00 18 00,00 00 00 01 84,1.5687 MHz,-
356,19.795903s,19.795923s,5,00 FC 00 1C 20,00 00 00 01 00,1.5718 MHz,-
357,19.800929s,19.800949s,5,80 D4 00 18 00,00 00 00 01 94,1.5626 MHz,-
358,19.800955s,19.800991s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5953 MHz,-
359,19.800996s,19.801062s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5733 MHz,-
360,19.806068s,19.806088s,5,80 DC 00 18 00,00 00 00 01 94,1.5370 MHz,-
361,19.806094s,19.806130s,8,C3 FE 00 1C 00 00 00 00,00 00 00 01 94 11 00 04,1.5718 MHz,-
362,19.806135s,19.806236s,21,D8 F6 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.6195 MHz,-
363,19.806242s,19.806262s,5,00 D6 00 18 40,00 00 00 01 00,1.6065 MHz,-
364,19.806268s,19.806288s,5,00 DE 00 00 30,00 00 00 01 00,1.5595 MHz,-
365,19.806294s,19.806314s,5,80 F4 00 00 00,00 00 00 01 81,1.5953 MHz,-
366,19.806320s,19.806340s,5,00 FE 00 00 03,00 00 00 01 00,1.5874 MHz,-
367,19.806346s,19.806366s,5,80 FE 00 00 00,00 00 00 01 A1,1.6081 MHz,-
368,19.806371s,19.806391s,5,C0 D4 00 1C 00,00 00 00 01 04,1.6228 MHz,-
369,19.806397s,19.806417s,5,00 D4 00 18 40,00 00 00 01 00,1.5811 MHz,-
370,19.811423s,19.811443s,5,C0 F4 00 1C 00,00 00 00 01 44,1.5780 MHz,-
371,19.811449s,19.811484s,8,83 F6 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6049 MHz,-
372,19.811490s,19.811828s,68,3F DC 00 24 80 03 00 00 00 41 80 00 01 82 00 00 00 00 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 9F 84 20 3F 8E DB F4 BF D7 FA 18 38 FF 01 B2 6E DD F8 6C 64 3F FD 9B FC 9B F1 98 F3 8F 9E E6,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6033 MHz,-
373,19.811833s,19.811854s,5,00 FC 00 36 DF,00 00 00 01 00,1.5811 MHz,-
374,19.816859s,19.816880s,5,C0 DC 00 1C 00,00 00 00 01 84,1.5937 MHz,-
375,19.821885s,19.821905s,5,C0 DC 00 1C 00,00 00 00 01 84,1.6261 MHz,-
376,19.821911s,19.821931s,5,00 FC 00 1C 30,00 00 00 01 00,1.6081 MHz,-
377,19.826937s,19.826957s,5,C0 DC 00 18 00,00 00 00 01 94,1.5921 MHz,-
378,19.826963s,19.826998s,8,83 DC 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5610 MHz,-
379,19.827004s,19.827069s,14,89 D6 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5764 MHz,-
380,19.832075s,19.832095s,5,C0 D4 00 1C 00,00 00 00 01 94,1.5889 MHz,-
381,19.832101s,19.832136s,8,83 FC 00 1C 00 00 00 00,00 00 00 01 94 09 00 04,1.6017 MHz,-
382,19.832142s,19.832202s,13,CC DC 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5969 MHz,-
383,19.832208s,19.832228s,5,00 D4 00 1C 40,00 00 00 01 00,1.6017 MHz,-
384,19.832234s,19.832254s,5,00 D4 00 00 30,00 00 00 01 00,1.5580 MHz,-
385,19.832295s,19.832315s,5,80 F4 00 00 00,00 00 00 01 81,1.5580 MHz,-
386,19.832321s,19.832341s,5,00 F4 00 00 02,00 00 00 01 00,1.5874 MHz,-
387,19.832347s,19.832367s,5,C0 D6 00 00 00,00 00 00 01 A1,1.5905 MHz,-
388,19.832373s,19.832393s,5,80 D4 00 18 00,00 00 00 01 44,1.5764 MHz,-
389,19.832399s,19.832434s,8,C3 DE 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04,1.5764 MHz,-
390,19.832440s,19.832567s,26,1D D4 00 34 80 01 00 00 00 17 00 00 01 FF 00 00 00 07 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5953 MHz,-
391,19.837572s,19.837593s,5,C0 DE 00 1C 00,00 00 00 01 84,1.6228 MHz,-
392,19.842599s,19.842619s,5,C0 F4 00 18 00,00 00 00 01 84,1.6195 MHz,-
393,19.842624s,19.842645s,5,00 D4 00 18 20,00 00 00 01 00,1.5718 MHz,-
394,19.847650s,19.847671s,5,80 D4 00 1C 00,00 00 00 01 94,1.5610 MHz,-
395,19.847677s,19.847712s,8,83 D4 00 1C 00 00 00 00,00 00 00 01 94 1F 00 04,1.6097 MHz,-
396,19.847718s,19.847783s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5937 MHz,-
397,19.852789s,19.852810s,5,C0 DE 00 1C 00,00 00 00 01 94,1.5953 MHz,-
398,19.852815s,19.852851s,8,83 DC 00 1C 00 00 00 00,00 00 00 01 94 15 00 04,1.5858 MHz,-
399,19.852856s,19.852978s,25,D6 D4 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5749 MHz,-
400,19.852983s,19.853004s,5,00 DC 00 18 40,00 00 00 01 00,1.5811 MHz,-
401,19.853009s,19.853030s,5,00 D4 00 00 30,00 00 00 01 00,1.5811 MHz,-
402,19.853036s,19.853056s,5,C0 D6 00 00 00,00 00 00 01 81,1.5937 MHz,-
403,19.853062s,19.853082s,5,00 F6 00 00 03,00 00 00 01 00,1.5874 MHz,-
404,19.853088s,19.853108s,5,80 DC 00 00 00,00 00 00 01 A1,1.6001 MHz,-
405,19.853113s,19.853134s,5,C0 FC 00 18 00,00 00 00 01 04,1.5969 MHz,-
406,19.853139s,19.853160s,5,00 DC 00 1C 40,00 00 00 01 00,1.5702 MHz,-
407,19.858165s,19.858186s,5,C0 D4 00 18 00,00 00 00 01 44,1.5921 MHz,-
408,19.858192s,19.858227s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5842 MHz,-
409,19.858233s,19.858359s,26,15 DE 00 24 80 01 00 00 00 16 00 00 01 7B 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5921 MHz,-
410,19.863365s,19.863386s,5,80 D4 00 1C 00,00 00 00 01 84,1.5445 MHz,-
411,19.868392s,19.868412s,5,80 D4 00 18 00,00 00 00 01 84,1.5489 MHz,-
412,19.868418s,19.868438s,5,00 D4 00 18 30,00 00 00 01 00,1.6081 MHz,-
413,19.873444s,19.873464s,5,80 D4 00 18 00,00 00 00 01 94,1.5858 MHz,-
414,19.873470s,19.873505s,8,83 FC 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5764 MHz,-
415,19.873511s,19.873577s,14,89 DC 00 26 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5641 MHz,-
416,19.878583s,19.878603s,5,C0 D4 00 1C 00,00 00 00 01 94,1.5953 MHz,-
417,19.878609s,19.878644s,8,83 D6 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.6097 MHz,-
418,19.878650s,19.878751s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5610 MHz,-
419,19.878757s,19.878777s,5,00 D4 00 18 40,00 00 00 01 00,1.6017 MHz,-
420,19.878782s,19.878803s,5,00 D4 00 00 20,00 00 00 01 00,1.5969 MHz,-
421,19.878809s,19.878829s,5,80 D4 00 00 00,00 00 00 01 81,1.5550 MHz,-
422,19.878835s,19.878855s,5,00 D4 00 00 02,00 00 00 01 00,1.5656 MHz,-
423,19.878861s,19.878881s,5,80 D6 00 00 00,00 00 00 01 A1,1.5874 MHz,-
424,19.878886s,19.878906s,5,80 F4 00 18 00,00 00 00 01 04,1.6000 MHz,-
425,19.878912s,19.878932s,5,00 D4 00 18 40,00 00 00 01 00,1.5565 MHz,-
426,19.883938s,19.883958s,5,80 DE 00 1C 00,00 00 00 01 44,1.6033 MHz,-
427,19.883964s,19.883999s,8,83 D6 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04,1.5858 MHz,-
428,19.884004s,19.884287s,57,36 F6 00 26 80 02 00 00 00 3D 00 00 01 C3 00 00 00 07 80 00 00 09 60 00 00 0D 80 00 00 00 00 00 00 00 01 00 04 5F CD 6D E1 9C 43 67 DB BC 27 C3 68 4F 3B 1C FE 88 F1 42 FC,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5874 MHz,-
429,19.889292s,19.889312s,5,C0 DC 00 18 00,00 00 00 01 84,1.5969 MHz,-
430,19.894318s,19.894338s,5,80 F4 00 1C 00,00 00 00 01 84,1.6049 MHz,-
431,19.894344s,19.894364s,5,00 D4 00 1C 20,00 00 00 01 00,1.5858 MHz,-
432,19.899370s,19.899390s,5,C0 D4 00 18 00,00 00 00 01 94,1.5985 MHz,-
433,19.899395s,19.899431s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6049 MHz,-
434,19.899436s,19.899502s,14,C9 F4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5702 MHz,-
435,19.904508s,19.904528s,5,80 FC 00 18 00,00 00 00 01 94,1.6065 MHz,-
436,19.904533s,19.904569s,8,83 DC 00 1C 00 00 00 00,00 00 00 01 94 09 00 04,1.5826 MHz,-
437,19.904574s,19.904635s,13,88 D6 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5874 MHz,-
438,19.904640s,19.904661s,5,00 F4 00 18 40,00 00 00 01 00,1.6049 MHz,-
439,19.904666s,19.904687s,5,00 D4 00 00 20,00 00 00 01 00,1.5826 MHz,-
440,19.904693s,19.904713s,5,C0 D4 00 00 00,00 00 00 01 81,1.5795 MHz,-
441,19.904719s,19.904739s,5,00 F4 00 00 03,00 00 00 01 00,1.5764 MHz,-
442,19.904744s,19.904765s,5,80 F4 00 00 00,00 00 00 01 A1,1.5985 MHz,-
443,19.904770s,19.904791s,5,80 D4 00 18 00,00 00 00 01 04,1.5921 MHz,-
444,19.904796s,19.904817s,5,00 F4 00 18 40,00 00 00 01 00,1.6360 MHz,-
445,19.909822s,19.909843s,5,80 D4 00 18 00,00 00 00 01 44,1.5702 MHz,-
446,19.909849s,19.909884s,8,83 D6 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5733 MHz,-
447,19.909889s,19.910016s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5826 MHz,-
448,19.915022s,19.915042s,5,80 D4 00 1C 00,00 00 00 01 84,1.5795 MHz,-
449,19.920048s,19.920068s,5,80 D4 00 18 00,00 00 00 01 84,1.5749 MHz,-
450,19.920074s,19.920094s,5,00 D4 00 18 20,00 00 00 01 00,1.5953 MHz,-
451,19.925100s,19.925120s,5,C0 F4 00 18 00,00 00 00 01 94,1.6211 MHz,-
452,19.925126s,19.925162s,8,83 DC 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5985 MHz,-
453,19.925167s,19.925233s,14,C9 FC 00 34 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5969 MHz,-
454,19.930239s,19.930259s,5,80 D4 00 18 00,00 00 00 01 94,1.5718 MHz,-
455,19.930265s,19.930300s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5953 MHz,-
456,19.930306s,19.930427s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5764 MHz,-
457,19.930432s,19.930452s,5,00 D4 00 18 40,00 00 00 01 00,1.5969 MHz,-
458,19.930458s,19.930478s,5,00 D4 00 00 20,00 00 00 01 00,1.6097 MHz,-
459,19.930485s,19.930505s,5,80 D4 00 00 00,00 00 00 01 81,1.5969 MHz,-
460,19.930510s,19.930531s,5,00 D4 00 00 02,00 00 00 01 00,1.5656 MHz,-
461,19.930536s,19.930557s,5,80 D4 00 00 00,00 00 00 01 A1,1.5905 MHz,-
462,19.930562s,19.930582s,5,80 D4 00 18 00,00 00 00 01 04,1.6017 MHz,-
463,19.930588s,19.930608s,5,00 D4 00 1C 40,00 00 00 01 00,1.6211 MHz,-
464,19.935614s,19.935634s,5,C0 FE 00 1C 00,00 00 00 01 44,1.5687 MHz,-
465,19.935640s,19.935675s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6017 MHz,-
466,19.935681s,19.935807s,26,15 D4 00 36 80 01 00 00 00 1F 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5969 MHz,-
467,19.940813s,19.940833s,5,80 D4 00 18 00,00 00 00 01 84,1.5733 MHz,-
468,19.945839s,19.945860s,5,C0 D6 00 18 00,00 00 00 01 84,1.5656 MHz,-
469,19.945865s,19.945885s,5,00 D4 00 1C 20,00 00 00 01 00,1.6000 MHz,-
470,19.950891s,19.950912s,5,C0 F4 00 18 00,00 00 00 01 94,1.5687 MHz,-
471,19.950917s,19.950953s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5565 MHz,-
472,19.950958s,19.951024s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5795 MHz,-
473,19.956030s,19.956051s,5,C0 D6 00 1C 00,00 00 00 01 94,1.6017 MHz,-
474,19.956056s,19.956092s,8,83 D6 00 1C 00 00 00 00,00 00 00 01 94 11 00 04,1.5826 MHz,-
475,19.956097s,19.956198s,21,D8 F6 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5985 MHz,-
